customer_id,channel,cost,conversion_rate,revenue,net_value,customer_segment
1,referral,8.320326732170223,0.1231449787166301,4199,4190.68,High Value
2,paid advertising,30.450327213520207,0.0163414915688768,3410,3379.55,Medium Value
3,email marketing,5.2462632712450965,0.0438222285949381,3164,3158.754,Medium Value
4,social media,9.546325667652964,0.1675922473559195,1520,1510.454,Low Value
5,referral,8.320326732170223,0.1231449787166301,2419,2410.68,Medium Value
6,paid advertising,30.450327213520207,0.0163414915688768,3856,3825.55,High Value
7,social media,9.546325667652964,0.1675922473559195,1172,1162.454,Low Value
8,email marketing,5.2462632712450965,0.0438222285949381,700,694.754,Low Value
9,social media,9.546325667652964,0.1675922473559195,2137,2127.454,Medium Value
10,social media,9.546325667652964,0.1675922473559195,982,972.454,Low Value
11,email marketing,5.2462632712450965,0.0438222285949381,3003,2997.754,Medium Value
12,referral,8.320326732170223,0.1231449787166301,1455,1446.68,Low Value
13,social media,9.546325667652964,0.1675922473559195,3388,3378.454,Medium Value
14,email marketing,5.2462632712450965,0.0438222285949381,3562,3556.754,Medium Value
15,referral,8.320326732170223,0.1231449787166301,1147,1138.68,Low Value
16,paid advertising,30.450327213520207,0.0163414915688768,1303,1272.55,Low Value
17,referral,8.320326732170223,0.1231449787166301,1456,1447.68,Low Value
18,paid advertising,30.450327213520207,0.0163414915688768,4549,4518.55,High Value
19,social media,9.546325667652964,0.1675922473559195,2054,2044.454,Medium Value
20,referral,8.320326732170223,0.1231449787166301,4439,4430.68,High Value
21,paid advertising,30.450327213520207,0.0163414915688768,1976,1945.55,Medium Value
22,email marketing,5.2462632712450965,0.0438222285949381,4004,3998.754,High Value
23,social media,9.546325667652964,0.1675922473559195,2010,2000.454,Medium Value
24,email marketing,5.2462632712450965,0.0438222285949381,3932,3926.754,High Value
25,email marketing,5.2462632712450965,0.0438222285949381,1885,1879.754,Medium Value
26,paid advertising,30.450327213520207,0.0163414915688768,4455,4424.55,High Value
27,email marketing,5.2462632712450965,0.0438222285949381,4681,4675.754,High Value
28,social media,9.546325667652964,0.1675922473559195,1867,1857.454,Medium Value
29,email marketing,5.2462632712450965,0.0438222285949381,4342,4336.754,High Value
30,paid advertising,30.450327213520207,0.0163414915688768,1385,1354.55,Low Value
31,referral,8.320326732170223,0.1231449787166301,3239,3230.68,Medium Value
32,social media,9.546325667652964,0.1675922473559195,1459,1449.454,Low Value
33,referral,8.320326732170223,0.1231449787166301,2021,2012.68,Medium Value
34,social media,9.546325667652964,0.1675922473559195,1947,1937.454,Medium Value
35,paid advertising,30.450327213520207,0.0163414915688768,2026,1995.55,Medium Value
36,referral,8.320326732170223,0.1231449787166301,4776,4767.68,High Value
37,social media,9.546325667652964,0.1675922473559195,3836,3826.454,High Value
38,social media,9.546325667652964,0.1675922473559195,3172,3162.454,Medium Value
39,paid advertising,30.450327213520207,0.0163414915688768,4846,4815.55,High Value
40,referral,8.320326732170223,0.1231449787166301,3868,3859.68,High Value
41,social media,9.546325667652964,0.1675922473559195,3947,3937.454,High Value
42,social media,9.546325667652964,0.1675922473559195,1118,1108.454,Low Value
43,paid advertising,30.450327213520207,0.0163414915688768,3326,3295.55,Medium Value
44,paid advertising,30.450327213520207,0.0163414915688768,1004,973.55,Low Value
45,paid advertising,30.450327213520207,0.0163414915688768,3596,3565.55,Medium Value
46,social media,9.546325667652964,0.1675922473559195,1052,1042.454,Low Value
47,email marketing,5.2462632712450965,0.0438222285949381,3466,3460.754,Medium Value
48,referral,8.320326732170223,0.1231449787166301,832,823.68,Low Value
49,social media,9.546325667652964,0.1675922473559195,1575,1565.454,Low Value
50,referral,8.320326732170223,0.1231449787166301,571,562.68,Low Value
51,email marketing,5.2462632712450965,0.0438222285949381,1962,1956.754,Medium Value
52,paid advertising,30.450327213520207,0.0163414915688768,2573,2542.55,Medium Value
53,referral,8.320326732170223,0.1231449787166301,3603,3594.68,Medium Value
54,referral,8.320326732170223,0.1231449787166301,2390,2381.68,Medium Value
55,paid advertising,30.450327213520207,0.0163414915688768,2949,2918.55,Medium Value
56,paid advertising,30.450327213520207,0.0163414915688768,719,688.55,Low Value
57,email marketing,5.2462632712450965,0.0438222285949381,2754,2748.754,Medium Value
58,paid advertising,30.450327213520207,0.0163414915688768,674,643.55,Low Value
59,referral,8.320326732170223,0.1231449787166301,868,859.68,Low Value
60,paid advertising,30.450327213520207,0.0163414915688768,1806,1775.55,Medium Value
61,email marketing,5.2462632712450965,0.0438222285949381,3472,3466.754,Medium Value
62,social media,9.546325667652964,0.1675922473559195,792,782.454,Low Value
63,email marketing,5.2462632712450965,0.0438222285949381,3890,3884.754,High Value
64,social media,9.546325667652964,0.1675922473559195,4131,4121.454,High Value
65,paid advertising,30.450327213520207,0.0163414915688768,4210,4179.55,High Value
66,social media,9.546325667652964,0.1675922473559195,1568,1558.454,Low Value
67,paid advertising,30.450327213520207,0.0163414915688768,2529,2498.55,Medium Value
68,referral,8.320326732170223,0.1231449787166301,2376,2367.68,Medium Value
69,email marketing,5.2462632712450965,0.0438222285949381,2952,2946.754,Medium Value
70,social media,9.546325667652964,0.1675922473559195,4833,4823.454,High Value
71,paid advertising,30.450327213520207,0.0163414915688768,2237,2206.55,Medium Value
72,referral,8.320326732170223,0.1231449787166301,1361,1352.68,Low Value
73,paid advertising,30.450327213520207,0.0163414915688768,2807,2776.55,Medium Value
74,paid advertising,30.450327213520207,0.0163414915688768,2620,2589.55,Medium Value
75,referral,8.320326732170223,0.1231449787166301,3525,3516.68,Medium Value
76,paid advertising,30.450327213520207,0.0163414915688768,3112,3081.55,Medium Value
77,email marketing,5.2462632712450965,0.0438222285949381,1736,1730.754,Medium Value
78,social media,9.546325667652964,0.1675922473559195,1812,1802.454,Medium Value
79,paid advertising,30.450327213520207,0.0163414915688768,4540,4509.55,High Value
80,email marketing,5.2462632712450965,0.0438222285949381,4586,4580.754,High Value
81,social media,9.546325667652964,0.1675922473559195,800,790.454,Low Value
82,email marketing,5.2462632712450965,0.0438222285949381,2741,2735.754,Medium Value
83,email marketing,5.2462632712450965,0.0438222285949381,711,705.754,Low Value
84,paid advertising,30.450327213520207,0.0163414915688768,3308,3277.55,Medium Value
85,paid advertising,30.450327213520207,0.0163414915688768,4312,4281.55,High Value
86,email marketing,5.2462632712450965,0.0438222285949381,3280,3274.754,Medium Value
87,social media,9.546325667652964,0.1675922473559195,3469,3459.454,Medium Value
88,social media,9.546325667652964,0.1675922473559195,1487,1477.454,Low Value
89,paid advertising,30.450327213520207,0.0163414915688768,1771,1740.55,Medium Value
90,paid advertising,30.450327213520207,0.0163414915688768,1364,1333.55,Low Value
91,email marketing,5.2462632712450965,0.0438222285949381,4302,4296.754,High Value
92,email marketing,5.2462632712450965,0.0438222285949381,1874,1868.754,Medium Value
93,referral,8.320326732170223,0.1231449787166301,3453,3444.68,Medium Value
94,email marketing,5.2462632712450965,0.0438222285949381,2933,2927.754,Medium Value
95,social media,9.546325667652964,0.1675922473559195,2987,2977.454,Medium Value
96,referral,8.320326732170223,0.1231449787166301,3642,3633.68,Medium Value
97,social media,9.546325667652964,0.1675922473559195,845,835.454,Low Value
98,paid advertising,30.450327213520207,0.0163414915688768,3809,3778.55,Medium Value
99,email marketing,5.2462632712450965,0.0438222285949381,4947,4941.754,High Value
100,email marketing,5.2462632712450965,0.0438222285949381,4539,4533.754,High Value
101,social media,9.546325667652964,0.1675922473559195,1929,1919.454,Medium Value
102,social media,9.546325667652964,0.1675922473559195,1174,1164.454,Low Value
103,email marketing,5.2462632712450965,0.0438222285949381,2574,2568.754,Medium Value
104,social media,9.546325667652964,0.1675922473559195,1499,1489.454,Low Value
105,social media,9.546325667652964,0.1675922473559195,4420,4410.454,High Value
106,social media,9.546325667652964,0.1675922473559195,1411,1401.454,Low Value
107,email marketing,5.2462632712450965,0.0438222285949381,3338,3332.754,Medium Value
108,paid advertising,30.450327213520207,0.0163414915688768,1681,1650.55,Low Value
109,email marketing,5.2462632712450965,0.0438222285949381,3326,3320.754,Medium Value
110,referral,8.320326732170223,0.1231449787166301,558,549.68,Low Value
111,referral,8.320326732170223,0.1231449787166301,3953,3944.68,High Value
112,referral,8.320326732170223,0.1231449787166301,3642,3633.68,Medium Value
113,email marketing,5.2462632712450965,0.0438222285949381,1694,1688.754,Medium Value
114,referral,8.320326732170223,0.1231449787166301,3115,3106.68,Medium Value
115,paid advertising,30.450327213520207,0.0163414915688768,4560,4529.55,High Value
116,email marketing,5.2462632712450965,0.0438222285949381,3442,3436.754,Medium Value
117,social media,9.546325667652964,0.1675922473559195,4340,4330.454,High Value
118,referral,8.320326732170223,0.1231449787166301,1919,1910.68,Medium Value
119,paid advertising,30.450327213520207,0.0163414915688768,2695,2664.55,Medium Value
120,paid advertising,30.450327213520207,0.0163414915688768,4134,4103.55,High Value
121,paid advertising,30.450327213520207,0.0163414915688768,3951,3920.55,High Value
122,email marketing,5.2462632712450965,0.0438222285949381,3474,3468.754,Medium Value
123,email marketing,5.2462632712450965,0.0438222285949381,730,724.754,Low Value
124,referral,8.320326732170223,0.1231449787166301,3376,3367.68,Medium Value
125,email marketing,5.2462632712450965,0.0438222285949381,1067,1061.754,Low Value
126,email marketing,5.2462632712450965,0.0438222285949381,2723,2717.754,Medium Value
127,email marketing,5.2462632712450965,0.0438222285949381,1272,1266.754,Low Value
128,paid advertising,30.450327213520207,0.0163414915688768,2800,2769.55,Medium Value
129,paid advertising,30.450327213520207,0.0163414915688768,2389,2358.55,Medium Value
130,email marketing,5.2462632712450965,0.0438222285949381,1988,1982.754,Medium Value
131,paid advertising,30.450327213520207,0.0163414915688768,912,881.55,Low Value
132,social media,9.546325667652964,0.1675922473559195,3149,3139.454,Medium Value
133,email marketing,5.2462632712450965,0.0438222285949381,2624,2618.754,Medium Value
134,referral,8.320326732170223,0.1231449787166301,1429,1420.68,Low Value
135,referral,8.320326732170223,0.1231449787166301,4615,4606.68,High Value
136,social media,9.546325667652964,0.1675922473559195,1809,1799.454,Medium Value
137,email marketing,5.2462632712450965,0.0438222285949381,1528,1522.754,Low Value
138,email marketing,5.2462632712450965,0.0438222285949381,2486,2480.754,Medium Value
139,paid advertising,30.450327213520207,0.0163414915688768,4854,4823.55,High Value
140,paid advertising,30.450327213520207,0.0163414915688768,1722,1691.55,Medium Value
141,referral,8.320326732170223,0.1231449787166301,4756,4747.68,High Value
142,email marketing,5.2462632712450965,0.0438222285949381,755,749.754,Low Value
143,social media,9.546325667652964,0.1675922473559195,3066,3056.454,Medium Value
144,paid advertising,30.450327213520207,0.0163414915688768,2357,2326.55,Medium Value
145,email marketing,5.2462632712450965,0.0438222285949381,3522,3516.754,Medium Value
146,social media,9.546325667652964,0.1675922473559195,4301,4291.454,High Value
147,paid advertising,30.450327213520207,0.0163414915688768,3580,3549.55,Medium Value
148,referral,8.320326732170223,0.1231449787166301,1960,1951.68,Medium Value
149,social media,9.546325667652964,0.1675922473559195,1777,1767.454,Medium Value
150,email marketing,5.2462632712450965,0.0438222285949381,2506,2500.754,Medium Value
151,social media,9.546325667652964,0.1675922473559195,4043,4033.454,High Value
